apartment_code,room_code,bed_type,capacity,occupied_beds,available_beds,available_bed_codes,current_occupancy_pct,current_revenue,current_rent,recent_occupancy_pct,recent_revenue,recent_vacancy_events,recent_refills,recent_fill_rate,average_vacancy_days_recent,historical_occupancy_pct,historical_revenue,occupant_states,occupant_genders,occupant_occupations,occupant_ages,gender_allowed,bed_status,bed_lifecycle_status,toilet_type,current_rate,bed_codes,lifecycle_status,demand_score
C11,C11-C,Double,2,2,0,,100.0,14500.0,14500.0,100.0,524310.12,5,5,1.0,1.8,94.05,1075249.67,Andhra Pradesh; Uttar Pradesh,male; male,student; student,23.0; 19.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,91.95
C12,C12-A,Single,1,1,0,,100.0,19500.0,19500.0,96.2,354697.77,2,2,1.0,11.0,96.18,782066.36,,female,student,34.0,Female,Active,occupied,Common,19500.0,A1,Active,83.36
C12,C12-B,Double,2,2,0,,100.0,31000.0,15500.0,75.47,424211.56,5,5,1.0,56.8,75.47,424211.56,Tamil Nadu; West Bengal,female; female,student; student,25.0; 20.0,Female,Active,occupied,Attached,15500.0,B1; B2,Active,70.17
C12,C12-C,Triple,3,3,0,,100.0,40500.0,13500.0,96.6,704057.16,7,7,1.0,10.7,95.37,1498702.37,Tamil Nadu,female; female; female,student; student; student,21.8; 21.0; 27.7,Female,Active,occupied,Attached,13500.0,C1; C2; C3,Active,95.07
C12,C12-D,Double,2,1,1,D2,50.0,14500.0,14500.0,57.77,310857.42,10,9,0.9,51.7,57.77,310857.42,West Bengal,female,student,21.0,Female,Active,occupied/vacant,Common,14500.0,D1; D2,Active,59.08
C21,C21-A,Single,1,1,0,,100.0,19500.0,19500.0,81.17,299540.08,4,4,1.0,27.2,71.83,588101.18,Tamil Nadu,male,student,20.0,Male,Active,occupied,Common,19500.0,A1,Active,73.54
C21,C21-B,Double,2,1,1,B2,50.0,15500.0,15500.0,58.38,328488.83,4,3,0.75,43.7,74.47,898134.03,,male,student,32.1,Male,Active,occupied,Attached,15500.0,B1; B2,Active,57.63
C21,C21-C,Double,2,2,0,,100.0,28000.0,14500.0,81.87,427168.2,1,1,1.0,132.0,80.53,919211.56,,male; male,student; student,31.7; 25.9,Male,Active,occupied,Common,14500.0,C1; C2,Active,58.13
C21,C21-D,Single,1,1,0,,100.0,25500.0,25500.0,93.96,449852.17,3,3,1.0,11.7,89.39,944201.71,,male,student,45.4,Male,Active,occupied,Attached,25500.0,D1,Active,85.63
C24,C24-B,Triple,3,3,0,,100.0,40000.0,13500.0,91.08,683262.16,8,8,1.0,54.4,91.76,939931.01,Tamil Nadu,female; female; female,student; student; student,16.8; 25.0; 22.0,Female,Active,occupied,Attached,13500.0,B1; B2; B3,Active,84.3
C24,C24-C,Double,2,2,0,,100.0,27000.0,14500.0,100.0,551264.78,1,0,0.0,,100.0,750837.71,,female; female,student; student,,Female,Active,occupied,Common,14500.0,C1; C2,Active,55.68
C31,C31-A,Single,1,1,0,,100.0,19500.0,19500.0,68.57,251806.83,5,5,1.0,38.4,80.08,646905.39,,male,student,,Male,Active,occupied,Common,19500.0,A1,Active,65.7
C31,C31-B,Double,2,2,0,,100.0,28100.0,15500.0,100.0,534490.8,0,0,,,97.4,1167030.22,,male; male,student; student,48.6,Male,Active,occupied,Attached,15500.0,B1; B2,Active,67.63
C31,C31-C,Double,2,0,2,C1; C2,0.0,0.0,14500.0,69.08,361793.69,8,6,0.75,56.0,79.89,826606.44,,,,,Male,Active,occupied,Common,14500.0,C1; C2,Active,59.91
C31,C31-D,Single,1,1,0,,100.0,25500.0,25500.0,100.0,515883.71,4,4,1.0,1.5,100.0,1189996.71,,male,student,42.8,Male,Active,occupied,Attached,25500.0,D1,Active,91.73
C34,C34-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,430863.99,4,4,1.0,2.0,82.1,615555.19,,female,student,46.0,Female,Active,occupied,Common,19500.0,A1,Active,88.83
C34,C34-B,Double,2,2,0,,100.0,29100.0,15500.0,99.4,538745.07,1,1,1.0,7.0,95.88,1154027.6,,female; female,student; student,28.6,Female,Active,occupied,Attached,15500.0,B1; B2,Active,91.24
C34,C34-C,Double,2,1,1,C1,50.0,13500.0,14500.0,92.23,477233.9,3,2,0.667,28.0,89.24,1011113.67,,female,student,,Female,Active,occupied/vacant,Common,14500.0,C1; C2,Active,74.56
C41,C41-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,361399.47,0,0,,,98.1,515571.62,Tamil Nadu,male,student,27.0,Male,Active,occupied,Common,19500.0,A1,Active,61.92
C41,C41-B,Double,2,2,0,,100.0,15500.0,15500.0,86.18,493002.63,5,5,1.0,28.0,83.24,691639.29,Tamil Nadu,male; male,student; student,24.1; 40.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,81.41
C41,C41-C,Double,2,2,0,,100.0,29000.0,14500.0,69.69,372486.86,7,7,1.0,44.4,76.64,574720.76,Delhi; Tamil Nadu,male; male,student; student,22.0; 27.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,68.91
C41,C41-D,Single,1,1,0,,100.0,24000.0,25500.0,100.0,456504.6,0,0,,,99.88,672536.14,,male,student,,Male,Active,occupied,Attached,25500.0,D1,Active,65.05
C42,C42-A,Single,1,1,0,,100.0,19500.0,19500.0,93.26,331576.87,3,3,1.0,13.0,92.63,716934.95,Haryana,female,student,21.0,Female,Active,occupied,Common,19500.0,A1,Active,81.26
C42,C42-B,Double,2,1,1,B2,50.0,15500.0,15500.0,86.7,476622.86,6,5,0.833,18.8,86.94,1018567.67,Kerala,female,student,19.0,Female,Active,occupied/vacant,Attached,15500.0,B1; B2,Active,78.61
C42,C42-C,Double,2,2,0,,100.0,29000.0,14500.0,84.54,449392.25,3,3,1.0,59.7,80.9,915919.84,Kerala,male; female,student; student,19.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,73.43
C43,C43-A,Single,1,1,0,,100.0,19500.0,19500.0,90.16,327907.36,2,2,1.0,28.5,92.5,636139.95,Kerala,female,student,,Female,Active,occupied,Common,19500.0,A1,Active,77.18
C43,C43-B,Double,2,2,0,,100.0,30000.0,15500.0,99.4,550542.05,1,1,1.0,7.0,94.92,1107828.52,Puducherry,female; female,student; student,31.0,Female,Active,occupied,Attached,15500.0,B1; B2,Active,91.63
C43,C43-C,Double,2,2,0,,100.0,28000.0,14500.0,84.46,443298.29,3,3,1.0,50.0,89.76,980726.02,Kerala,female; female,student; student,24.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,75.04
C44,C44-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,452447.44,4,4,1.0,14.8,99.45,683318.0,,male,student,40.2,Male,Active,occupied,Common,19500.0,A1,Active,87.12
C44,C44-B,Double,2,2,0,,100.0,31000.0,15500.0,99.22,564339.68,2,2,1.0,4.0,90.07,1043147.17,Tamil Nadu,male; male,student; student,23.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,92.6
C44,C44-C,Double,2,2,0,,100.0,29000.0,14500.0,85.92,468971.75,4,4,1.0,3.5,80.97,886626.15,Puducherry,male; male,student; student,35.6; 22.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,85.17
D11,D11-B,Single,1,1,0,,100.0,25500.0,25500.0,96.03,457243.76,3,3,1.0,7.7,90.58,943708.94,,female,student,28.3,Female,Active,occupied,Attached,25500.0,B1,Active,87.32
D11,D11-C,Double,2,1,1,C1,50.0,15500.0,15500.0,85.06,465006.57,4,3,0.75,53.3,92.86,1118242.44,Tamil Nadu,female,student,20.0,Female,Active,occupied/vacant,Attached,15500.0,C1; C2,Active,69.08
D11,D11-D,Triple,3,3,0,,100.0,26000.0,13500.0,82.9,603646.52,4,4,1.0,74.2,84.5,1406964.52,Tamil Nadu,female; female; female,student; student; student,27.9; 29.8; 18.0,Female,Active,occupied,Attached,13500.0,D1; D2; D3,Active,75.23
D12,D12-A,Single,1,1,0,,100.0,19500.0,19500.0,85.32,312992.77,3,3,1.0,28.3,92.1,626031.54,,female,student,25.9,Female,Active,occupied,Common,19500.0,A1,Active,75.14
D12,D12-B,Double,2,2,0,,100.0,31000.0,15500.0,99.65,575558.48,4,4,1.0,1.2,96.7,1018912.61,,female; female,student; student,24.8; 46.3,Female,Active,occupied,Attached,15500.0,B1; B2,Active,93.64
D12,D12-C,Double,2,2,0,,100.0,29000.0,14500.0,86.96,460496.06,5,5,1.0,30.2,88.63,863515.11,Madhya Pradesh,female; female,student; student,22.0; 24.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,80.18
D15,D15-A,Executive,1,1,0,,100.0,25500.0,25500.0,100.0,76231.93,0,0,,,100.0,76231.93,,male,student,,Male,Active,occupied,Attached,25500.0,A1,Active,52.51
D21,D21-A,Single,1,1,0,,100.0,25500.0,25500.0,97.75,457687.25,1,1,1.0,13.0,89.01,758869.91,,female,student,27.6,Female,Active,occupied,Attached,25500.0,A1,Active,86.89
D21,D21-B,Double,2,2,0,,100.0,30000.0,15500.0,98.53,558163.6,3,3,1.0,19.0,94.65,966511.17,,female; female,student; student,25.1,Female,Active,occupied,Attached,15500.0,B1; B2,Active,89.33
D21,D21-C,Triple,3,3,0,,100.0,39000.0,13500.0,100.0,741819.97,0,0,,,100.0,741819.97,,female; female; female,student; student; student,23.2,Female,Active,occupied,Attached,13500.0,C1; C2; C3,Active,74.46
D41,D41-A,Single,1,1,0,,100.0,18300.0,19500.0,100.0,348084.76,0,0,,,98.17,773120.89,,female,student,,Female,Active,occupied,Common,19500.0,A1,Active,61.48
D41,D41-B,Double,2,2,0,,100.0,31000.0,15500.0,94.82,548061.76,5,5,1.0,8.8,94.54,1176678.71,,female; female,student; student,26.8; 24.6,Female,Active,occupied,Attached,15500.0,B1; B2,Active,89.7
D41,D41-C,Double,2,2,0,,100.0,29000.0,14500.0,93.26,503153.75,4,4,1.0,11.8,90.57,1052230.62,Tamil Nadu,female; female,student; student,25.9; 28.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,87.14
