entity_id,risk_score,risk_level,anomaly_score,flags,explanation
f866875c-8a32-49d0-b600-259b7d35c158,11.6,Low,0.211,,
c0654959-32fc-4506-821e-db502e57e389,11.6,Low,0.211,,
c7f7b971-19fa-46c7-849d-4c5982a86ff7,10.9,Low,0.199,,
cdaaab49-8984-492d-811b-4fcb93508155,10.9,Low,0.199,,
c353442a-902b-4d6c-b7ed-ab113dc2bdc5,10.5,Low,0.191,,
326a9803-4ecf-4a90-9ad6-dc039042ff6c,10.5,Low,0.191,,
5f808eec-7ba7-4136-ba85-0e2aee0f52bd,10.1,Low,0.184,,
2b2f6325-f71e-4739-ae56-b3f912714978,9.9,Low,0.18,,
a8fae757-b9cc-4af6-994d-cba3c67bd409,9.7,Low,0.176,,
1b082c2f-dcc3-45a2-ba43-3308caf04844,9.5,Low,0.172,,
3490481c-e2d1-4cab-9a33-2c6a2dcfa6ee,4.6,Low,0.084,,
1b6c25dd-0b0e-42c8-bcbe-4db643f93f0c,4.6,Low,0.084,,
13b5d459-2df0-473b-adc7-cd2cd7dc01db,4.6,Low,0.084,,
1c2b1ca8-c7d4-4c53-94c8-62837e542238,4.6,Low,0.084,,
32c898f1-bb0e-4759-ae8b-a79021d7b7e1,4.6,Low,0.084,,
6eb2d076-e348-4bfc-856d-86723e94ab90,4.6,Low,0.084,,
46ac4f2a-c5db-480e-a586-d69d14dcca89,4.6,Low,0.084,,
563f1f66-9d2f-4054-b25b-775b06211ce1,4.6,Low,0.084,,
50fccbdd-9c3e-407c-ace9-47dd457a3b4d,4.6,Low,0.084,,
5255813b-afa8-4222-9151-d1b9ecbf3f06,4.6,Low,0.084,,
7a121576-386c-40dd-8a6d-a3120902a359,4.6,Low,0.084,,
9a0db726-841c-4e57-aee3-e6a3ce285e7f,4.6,Low,0.084,,
01358eaa-06be-455c-b086-9d9ced1d02c9,4.6,Low,0.084,,
37597e49-c4ae-4637-83cb-f43ea7ef8d35,4.6,Low,0.084,,
376d7336-cbff-4759-ac43-c1781e99e148,4.6,Low,0.084,,
3cbd4e3f-c83a-4694-901c-adab177847a6,4.6,Low,0.084,,
8e4a1a7b-c87d-40fc-b80c-181f621c7e4a,4.6,Low,0.084,,
6e9f681a-1292-4cec-95d5-80c22a076e15,4.6,Low,0.084,,
63583664-7699-4bd5-892d-2123c5cc534b,4.6,Low,0.084,,
64446452-f9e9-42d6-98d4-dc9aab5f2985,4.6,Low,0.084,,
6964752d-3abb-4921-9c1b-d1b668a1ce85,4.6,Low,0.084,,
b582975d-5d81-492e-8f06-a1e5d3d78fd7,4.6,Low,0.084,,
aaf765c9-a0b1-48be-8c21-3ac43a462480,4.6,Low,0.084,,
affc59e1-4e50-4b39-9026-c4adbf601fdb,4.6,Low,0.084,,
c6d65f33-8882-4758-a18f-9660657339e8,4.6,Low,0.084,,
a70eb2c3-706c-45d7-9af3-c0be7a59c764,4.6,Low,0.084,,
b5edcf4e-54dc-432a-a6bd-f1b36e2e0813,4.6,Low,0.084,,
b7d12596-f392-485c-8766-94f3519ee625,4.6,Low,0.084,,
bb6e04f9-78bd-4e10-921f-10a2f48b185f,4.6,Low,0.084,,
c3e4cf3b-765c-4e09-8c22-383bff808a3b,4.6,Low,0.084,,
84fadbc1-0050-4330-a93c-81d5666058b8,4.6,Low,0.084,,
86cfe969-a250-4233-ae88-b25e85bfd41e,4.6,Low,0.084,,
cce831ad-398f-49b4-adf2-b594419b2f62,4.6,Low,0.084,,
db7f65e5-9fe6-4986-a7ac-37fbdddff609,4.6,Low,0.084,,
c7044986-1955-41ac-a051-7ba5f4d56833,4.6,Low,0.084,,
ee5277cb-c0b4-4d6c-9594-89021f5d24b3,4.6,Low,0.084,,
e9b3ee0b-2542-4494-bbec-af30b46f14d4,4.6,Low,0.084,,
f1b25cdd-e630-44ef-a054-2f57d7add09c,4.6,Low,0.084,,
f1f8b383-aa8d-4f9d-b51d-b4e8816bf9db,4.6,Low,0.084,,
f22d37ca-e9d3-456f-8aa3-70b7ab94fc0c,4.6,Low,0.084,,
f52710af-1fbb-4cf8-b113-084ced145f7d,4.6,Low,0.084,,
fff00394-bda1-4ac1-b428-6227e3920406,4.6,Low,0.084,,
