asset_id,asset_type,purchase_date,asset_age_days,total_tickets,distinct_issue_types,repeat_issue_count,max_same_issue_repeats,avg_resolution_hours,median_resolution_hours,costed_ticket_count,total_cost,avg_cost,expected_cost_gap,last_ticket_date,tickets_per_month,mapping_confidence_summary
c7d66935-49df-474a-af4e-5db892413e2e,Fan,,,2,1,1,2,36.92,36.92,0,0.0,,,2026-05-24 05:27:32.667041,2.0,High:1|Verified:1
b6584e89-b55e-4e4c-aa98-a34c72f15191,Microwave Oven,,,2,1,1,2,552.09,552.09,0,0.0,,,2026-06-14 05:50:45.701233,2.0,Verified:2
317172ac-c2bb-40a2-bf74-b4770912b83a,Cupboard,,,2,2,0,1,141.44,141.44,0,0.0,,,2026-07-25 18:17:50.216074,1.05,Verified:2
45cf3ce8-48d0-4b37-b975-1b26af059c69,Fan,,,2,1,1,2,18.56,18.56,0,0.0,,,2026-06-12 17:33:51.414600,2.0,Verified:2
015a5afe-f096-4f3f-a41a-734a4743aa19,Air Conditioner,,,2,1,1,2,393.0,393.0,0,0.0,,,2026-06-29 17:25:16.924063,1.032,Verified:2
1d23efda-47c5-4f25-a9a9-fb25f27f1555,Air Conditioner,,,2,1,1,2,0.59,0.59,0,0.0,,,2026-04-10 07:30:30.060629,2.0,High:1|Verified:1
30d9dbfc-a9d3-49fb-bc99-c78196773658,Fan,,,2,1,1,2,0.46,0.46,0,0.0,,,2026-06-15 08:09:20.584146,2.0,High:1|Verified:1
35ec240d-87ee-4bcc-b912-3116c4209142,Air Conditioner,,,2,1,1,2,81.4,81.4,0,0.0,,,2026-04-25 10:27:17.030860,2.0,Verified:1|High:1
258d48fb-9fcd-4500-8724-3d5f900e042a,Cupboard,,,2,1,1,2,1.01,1.01,0,0.0,,,2026-04-03 09:37:00.009816,2.0,Verified:1|High:1
3490481c-e2d1-4cab-9a33-2c6a2dcfa6ee,Bedside Table,,,1,1,0,1,,,0,0.0,,,2026-07-12 05:11:01.489372,1.0,Verified:1
24eb48f0-199e-4932-9b67-5ec3dd853112,Mattress,,,1,1,0,1,15.62,15.62,0,0.0,,,2026-07-21 17:55:27.014886,1.0,Verified:1
1b6c25dd-0b0e-42c8-bcbe-4db643f93f0c,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
1b18f88c-8f4c-45c1-bf3d-4952c8a321b7,Cot (Bed Frame),,,1,1,0,1,58.03,58.03,0,0.0,,,2026-04-23 04:03:15.407263,1.0,Verified:1
1b082c2f-dcc3-45a2-ba43-3308caf04844,Cot (Bed Frame),,,1,1,0,1,38.17,38.17,0,0.0,,,2026-04-13 16:07:56.799775,1.0,Verified:1
196155a4-0a58-41ee-a6d9-d66ad917c414,Water Heater,,,1,1,0,1,139.39,139.39,0,0.0,,,2026-07-05 11:51:31.710110,1.0,Verified:1
1ed7ea1e-919f-4189-ac1c-92fbcc60760a,Cupboard,,,1,1,0,1,3.87,3.87,0,0.0,,,2026-04-16 08:51:31.218197,1.0,Verified:1
1f2db2a4-13ef-405c-970f-d5f7838c73fa,Water Heater,,,1,1,0,1,1972.5,1972.5,0,0.0,,,2026-04-08 07:46:02.279331,1.0,Verified:1
2135b780-5345-406d-ae31-fd3cd1c49650,RO Water Purifier,2025-02-02,549.0,1,1,0,1,178.69,178.69,0,0.0,,,2026-06-25 18:45:41.744645,1.0,Verified:1
1c2b1ca8-c7d4-4c53-94c8-62837e542238,Fan,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
3415582a-1981-4e36-9a42-e1fb2f44736a,Fan,,,1,1,0,1,32.25,32.25,0,0.0,,,2026-06-12 04:01:33.898957,1.0,Verified:1
326a9803-4ecf-4a90-9ad6-dc039042ff6c,Water Heater,,,1,1,0,1,39.9,39.9,0,0.0,,,2026-05-20 13:51:15.996733,1.0,Verified:1
32c898f1-bb0e-4759-ae8b-a79021d7b7e1,Air Conditioner,,,1,1,0,1,,,0,0.0,,,,1.0,High:1
2b2f6325-f71e-4739-ae56-b3f912714978,Water Heater,,,1,1,0,1,41.91,41.91,0,0.0,,,2026-05-20 11:52:41.408234,1.0,Verified:1
2920e94a-8321-4019-8aac-1ead84f7559e,Water Heater,,,1,1,0,1,881.28,881.28,0,0.0,,,2026-04-19 14:25:54.679794,1.0,Verified:1
2ba744f4-1d9d-416a-b710-0883dd5d63fa,Washing Machine,,,1,1,0,1,59.55,59.55,0,0.0,,,2026-06-09 18:04:14.288160,1.0,Verified:1
2cbc8c56-879e-418c-84f7-cc6c53598d18,Bedside Table,,,1,1,0,1,385.97,385.97,0,0.0,,,2026-06-27 10:22:46.271822,1.0,Verified:1
05a93b2d-a6c7-4640-93af-6fd19b12c0a2,Induction Stove,2025-05-05,457.0,1,1,0,1,382.03,382.03,1,1948.0,1948.0,1648.0,2026-05-10 09:59:12.454315,1.0,Verified:1
06fd6cbb-8d35-400c-8659-aaa0eea17971,Air Conditioner,,,1,1,0,1,436.68,436.68,0,0.0,,,2026-06-27 10:21:26.305612,1.0,Verified:1
18de1186-ae6c-4ce6-a4b2-4c26de696f57,Cupboard,,,1,1,0,1,137.85,137.85,0,0.0,,,2026-05-28 10:37:20.548140,1.0,Verified:1
137edf51-8c3c-42ba-8ee2-fa5b316f6e55,Air Conditioner,,,1,1,0,1,852.78,852.78,0,0.0,,,2026-04-16 17:08:41.471653,1.0,Verified:1
13b5d459-2df0-473b-adc7-cd2cd7dc01db,Cupboard,,,1,1,0,1,,,0,0.0,,,2026-07-23 03:41:57.676083,1.0,Verified:1
16a9c5c4-e252-4489-9365-7260adc68a58,Bedside Table,,,1,1,0,1,582.17,582.17,0,0.0,,,2026-05-02 02:42:26.732396,1.0,Verified:1
15055f35-2f83-4054-97be-d4a5ebe1f0c4,Cot (Bed Frame),,,1,1,0,1,341.86,341.86,0,0.0,,,2026-04-07 13:39:43.076881,1.0,Verified:1
0dcfad8a-af37-4c71-8097-1d78e2f17a6f,RO Water Purifier,,,1,1,0,1,18.53,18.53,0,0.0,,,2026-04-06 13:45:11.147679,1.0,Verified:1
77767257-fb83-446b-a520-e59bef8e1d49,Air Conditioner,,,1,1,0,1,146.11,146.11,0,0.0,,,2026-07-22 07:24:27.467759,1.0,Verified:1
