entity_id,risk_score,risk_level,anomaly_score,flags,explanation
fe5a5b64-d81e-45cf-be23-0471b912df3c,56.9,High,0.829,repeated_issue,Repeated issue at this location
43e6cbf0-e2d4-40ae-bf20-4df7b23cf915,56.6,High,0.824,repeated_issue,Repeated issue at this location
72f721e8-8e16-444d-b150-09b3385ae141,56.2,High,0.818,repeated_issue,Repeated issue at this location
73752713-dfcb-4eff-8ce4-b47bbb904804,55.7,High,0.808,repeated_issue,Repeated issue at this location
f0de0900-6a45-49e5-87a7-f90468c0021f,55.6,High,0.807,repeated_issue,Repeated issue at this location
6bc1941f-b4b3-4f5e-8b26-8d0ed2d7ac25,54.5,Medium,0.99,,
58187d60-a167-4ff1-b719-83401928ff54,54.3,Medium,0.988,,
6d5795dc-528f-4803-9e0f-be060bc4f7af,53.9,Medium,0.979,,
b78384d6-f204-47ff-9590-9608188a8126,53.8,Medium,0.979,,
3938fc58-441d-46d3-b350-690023ef2634,53.8,Medium,0.977,,
57973195-46ef-4872-a4bc-28f3eab8fd71,53.8,Medium,0.91,repeated_issue,Repeated issue at this location
696afd2a-6b96-4a16-91bd-92de7377802a,53.3,Medium,0.765,repeated_issue,Repeated issue at this location
2f821a1a-cdee-4e0b-b688-83e9e30edf93,53.0,Medium,0.759,repeated_issue,Repeated issue at this location
8b3527cf-868d-4d7a-9efc-63713caae3ef,53.0,Medium,0.964,,
ba75932d-0505-4a0c-949b-84bc22c5eb59,52.9,Medium,0.962,,
2c8244de-5eb7-4650-b53e-707875513366,52.9,Medium,0.757,repeated_issue,Repeated issue at this location
9351a6f4-4c82-419b-a851-61ee8fd6b403,52.9,Medium,0.757,repeated_issue,Repeated issue at this location
1bafcc2f-7872-4122-a353-d5d40de70cb8,52.5,Medium,0.954,,
3d9051cc-ec57-4acb-89ea-b68821421808,52.3,Medium,0.951,,
697a386b-0c0f-44c4-8653-96a72084bcec,52.3,Medium,0.746,repeated_issue,Repeated issue at this location
e6339d7a-b25b-431d-b995-64c4abff9132,52.2,Medium,0.744,repeated_issue,Repeated issue at this location
aecce5fb-e812-42f2-9ac3-2c17e70ce753,52.2,Medium,0.949,,
f8701579-a3ae-4b19-abbe-d3c7bd436263,52.1,Medium,0.742,repeated_issue,Repeated issue at this location
e1a9d3c0-7527-430e-bee5-117e4b5c944b,52.0,Medium,0.945,,
337de57d-034a-4531-990b-0af07c34522a,52.0,Medium,0.741,repeated_issue,Repeated issue at this location
d0bf3299-2a22-4fa7-afd0-0b9ffc93ad76,51.7,Medium,0.865,repeated_issue,Repeated issue at this location
67123f11-5721-4f52-950f-d91b623d5cc2,51.6,Medium,0.733,repeated_issue,Repeated issue at this location
ae295f50-0b70-4196-8d65-0167a77cbbe1,51.6,Medium,0.733,repeated_issue,Repeated issue at this location
7afb353a-c390-43a8-a04f-a07954bcecf6,51.2,Medium,0.93,,
0780c700-c404-4944-abab-6c90a1c92975,51.2,Medium,0.93,,
8acb89e3-ea87-4013-8fdf-7f56b6d7f6b2,51.0,Medium,0.723,repeated_issue,Repeated issue at this location
a919aa54-ea64-4420-a732-20ffe4a13f83,51.0,Medium,0.927,,
af56a3bd-431e-4109-a114-dd960d9d2ba2,51.0,Medium,0.723,repeated_issue,Repeated issue at this location
61d72347-fcd7-4363-94c2-e82a2a80912c,50.9,Medium,0.722,repeated_issue,Repeated issue at this location
a99ead9e-4fc7-4128-bf2c-9a69cd0a8215,50.9,Medium,0.926,,
7c2663ac-612b-417d-9bf7-5e6ac8d3efe5,50.9,Medium,0.721,repeated_issue,Repeated issue at this location
30f4d87a-751c-4266-ad46-975889178700,50.9,Medium,0.722,repeated_issue,Repeated issue at this location
84606359-3085-4e82-8854-11ac5b5045e7,50.8,Medium,0.719,repeated_issue,Repeated issue at this location
1a95484c-9172-45a3-b983-a8d8aa409c42,50.8,Medium,0.719,repeated_issue,Repeated issue at this location
204275a1-d75e-4b2f-ad2f-ae607f40730a,50.8,Medium,0.719,repeated_issue,Repeated issue at this location
455d5545-85c3-4b43-a944-e788c3257855,50.8,Medium,0.923,,
76d61ead-a174-4c32-b826-99c5a6277e1f,50.7,Medium,0.717,repeated_issue,Repeated issue at this location
5a5c1abb-862e-439f-b206-930acf2ac60a,50.6,Medium,0.921,,
ef1af8f2-6c30-4d1a-bbb3-76b45a1ef0b6,50.6,Medium,0.715,repeated_issue,Repeated issue at this location
e87fdb6a-0f93-4b63-8bf2-5f346cb9f10d,50.5,Medium,0.918,,
d01d2356-1785-4413-a34d-b32eec8aa9f6,50.5,Medium,0.919,,
f43974a5-c1b8-4d39-9446-5bfe0f18fcd3,50.2,Medium,0.996,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
2c2c0970-fdfc-4d72-8cbb-8d434cb6233d,50.2,Medium,0.998,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
8a683947-442d-4763-bd18-02ba97a44a81,50.2,Medium,0.999,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
7a7ada9a-c432-4664-af52-bb993b0c52c7,50.2,Medium,0.998,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
e0606954-e645-47ed-8008-f5ace1c87acc,50.2,Medium,0.913,,
b68b2bcf-ceb9-4cdc-8e0a-fdf2e5fd8d30,50.1,Medium,0.911,,
ecfb0f75-5c43-4830-9b47-4228d3dbdaaf,50.0,Medium,0.986,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
3145b7a3-f9b8-4b69-be75-cf0d3ead40f9,49.9,Medium,0.703,repeated_issue,Repeated issue at this location
35dd8f94-4c35-4169-a395-42d399fd0956,49.9,Medium,0.907,,
6fe8eb8d-4e64-4977-8968-772d400d759e,49.9,Medium,0.908,,
4d818673-1496-448a-854e-3c4f180a1ee3,49.8,Medium,0.971,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
d8a3ea93-5c3b-4388-ad6b-03f15dad3785,49.8,Medium,0.971,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
736faf3e-7bf6-46af-9b45-541ac5062166,49.8,Medium,0.906,,
17a66482-faa4-4cad-a904-e869812f2950,49.7,Medium,0.898,fast_resolution,Resolved in 0.1h vs 25.8h typical for Electrical Issues
7b5a60ef-d1f2-4f62-943f-59506796ec43,49.6,Medium,0.901,,
15917ad7-bf88-4861-8777-e736a43024ee,49.6,Medium,0.902,,
f90ebf64-ee75-41cd-8a53-e97d7aad40da,49.6,Medium,0.961,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 0.3h vs 48.4h typical for Other
f4f01648-706d-45b9-95cc-6b116b5a749b,49.5,Medium,0.955,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 4.0h vs 40.9h typical for Furniture
53040f7e-89a2-4c5c-9f73-71feae903e1a,49.5,Medium,0.9,,
35df53c4-12a2-4134-a0ae-df8575e49a09,49.1,Medium,0.688,repeated_issue,Repeated issue at this location
89fb6e9b-199c-475d-afcf-8e705a911f49,49.1,Medium,0.894,,
11dcf269-8bc3-4127-94ad-49b9f248cbb2,49.0,Medium,0.687,repeated_issue,Repeated issue at this location
b30178f4-4a1c-4469-9255-be9eed264561,49.0,Medium,0.686,repeated_issue,Repeated issue at this location
4d777e0e-07ea-4138-9065-e0405fe2debb,48.9,Medium,0.685,repeated_issue,Repeated issue at this location
84c4cb57-827f-49b5-a473-4bb6df134de6,48.8,Medium,0.887,,
f113e226-b3c6-4360-9d6d-eaf9928fcd6c,48.7,Medium,0.886,,
188b1fdb-205f-470f-b9f4-db6e18d74a41,48.6,Medium,0.884,,
996519c8-a521-4d07-aabf-e0a8c185663c,48.5,Medium,0.677,repeated_issue,Repeated issue at this location
ce6db03e-7f9f-4564-73e7-e9d29ff78ab4,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
e81d0e92-c8ae-73c9-50de-586fcc1cbdf3,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
0c08f06f-7a08-3220-ee9c-6522b0b93825,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
2a3327d0-872c-007c-4a67-2a0a9b03c93b,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
e61cc2bb-931d-59e6-1e2e-316293ff05e4,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
9f53b279-80bb-d6c2-ac64-4a431b95bc5b,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
c5a466e9-f41a-4436-8a4d-58621227a138,48.3,Medium,0.673,repeated_issue,Repeated issue at this location
85bd1fef-51ab-3b14-6151-74d7fb0d6b7c,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
cc6809fa-9153-7415-8aae-5e6e06e85431,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
28ec0694-a088-19c4-4323-cd4553956079,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
48862e77-53fa-42d1-a7e4-5082320b4b33,48.3,Medium,0.674,repeated_issue,Repeated issue at this location
fd95aa3b-dc52-7809-ca1e-c3a77c98640a,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
a7e318bc-fde2-4691-a766-fbdf9b064f4d,48.3,Medium,0.673,repeated_issue,Repeated issue at this location
aea3d88b-c517-2783-3d05-48f0546c4c57,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
68f2b79b-99a7-fd31-c664-933f4296a50d,48.3,Medium,0.792,repeated_issue,Repeated issue at this location
04617c6a-c9d0-4f9c-845e-a513b686709a,48.1,Medium,0.67,repeated_issue,Repeated issue at this location
d6a91c4a-bcda-4f95-83d1-a34ed7cf8e65,48.0,Medium,0.873,,
a654bf9b-1cb0-4547-a58d-48ada2ec7a05,48.0,Medium,0.872,,
793f193e-cb76-43f3-991d-36b8179160da,47.9,Medium,0.872,,
